name,type,category,data_name,data_users,collections,parent,parent_type,children,hide_viewport,hide_render,visible,location,rotation_euler,scale,matrix_world_translation,matrix_parent_inverse_translation,modifier_count,constraint_count,animation_action,driver_count,nla_track_count,bounds_min,bounds_max,bounds_center,dimensions_world,origin_to_bounds_center,origin_detached_candidate
CAM_F2_Front,CAMERA,CHARACTER,CAM_F2_Front_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[1.479385256767273, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[0.0, 0.0, 0.0]",0,0,CAM_F2_FrontAction,0,0,,,,,,False
CAM_F2_Profile,CAMERA,CHARACTER,CAM_F2_Profile_Data,1,CAMERAS,,OBJECT,,False,False,True,"[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[1.4717116355895996, 1.1992301551799756e-07, 1.4621351957321167]","[1.0, 1.0, 1.0]","[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[0.0, 0.0, 0.0]",0,0,CAM_F2_ProfileAction,0,0,,,,,,False
CAM_F2_ThreeQuarter,CAMERA,CHARACTER,CAM_F2_ThreeQuarter_Data,1,CAMERAS,,OBJECT,,False,False,True,"[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[1.4630521535873413, 8.603631584946925e-09, 0.5800027251243591]","[1.0, 1.0, 1.0]","[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[0.0, 0.0, 0.0]",0,0,CAM_F2_ThreeQuarterAction,0,0,,,,,,False
CAM_Hood_Front,CAMERA,CLOTHING,CAM_Hood_Front_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[1.5208884477615356, -3.705778350848732e-09, 0.04496968537569046]","[1.0, 1.0, 1.0]","[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_FrontAction,0,0,,,,,,False
CAM_Hood_LeftSide,CAMERA,CLOTHING,CAM_Hood_LeftSide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, -1.5707964897155762]","[1.0, 1.0, 1.0]","[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_LeftSideAction,0,0,,,,,,False
CAM_Hood_RightSide,CAMERA,CLOTHING,CAM_Hood_RightSide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, 1.5707964897155762]","[1.0, 1.0, 1.0]","[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_RightSideAction,0,0,,,,,,False
CAM_Hood_Top,CAMERA,CLOTHING,CAM_Hood_Top_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.07506294548511505, 1.8727165240761678e-07, 0.22347640991210938]","[1.0, 1.0, 1.0]","[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_TopAction,0,0,,,,,,False
Cargo pants,MESH,CLOTHING,Cargo pants,1,PANTS,,OBJECT,,False,False,True,"[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[0.0, 0.0, 0.0]","[2.864536762237549, 3.3314666748046875, 0.8818214535713196]","[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[-0.0, 0.0, -0.0]",1,0,Cargo pantsAction,0,0,"[-0.4179287552833557, -0.2528274357318878, 0.5096121430397034]","[0.44308167695999146, 0.3020385205745697, 1.2564749717712402]","[0.012576460838317871, 0.024605542421340942, 0.8830435276031494]","[0.8610104322433472, 0.5548659563064575, 0.7468628287315369]",0.37406441775714805,False
F2,MESH,CHARACTER,Meshy_Left_Standing_Candidate.006,1,Main Model,,OBJECT,,False,False,True,"[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[1.570796251296997, -0.0, 0.0]","[3.634430170059204, 3.634430170059204, 3.634430170059204]","[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[0.0, 0.0, 0.0]",0,0,F2Action,0,0,"[-1.1231653690338135, -0.4151705801486969, 0.39730575680732727]","[1.1144416332244873, 0.31626853346824646, 2.4899609088897705]","[-0.004361867904663086, -0.04945102334022522, 1.4436333179473877]","[2.237607002258301, 0.7314391136169434, 2.0926551818847656]",2.51771494950104,True
Handlebars.001,MESH,CHARACTER,Mesh.015,1,PROPS,Large Trash Can,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 23.24567222595215, 0.0]","[-0.0, 0.0, -0.0]",0,0,Handlebars.001Action,0,0,"[-0.3443523943424225, 23.715375900268555, 1.5129683017730713]","[0.34446802735328674, 23.91191291809082, 1.7240326404571533]","[5.7816505432128906e-05, 23.813644409179688, 1.6185004711151123]","[0.6888204216957092, 0.19653701782226562, 0.21106433868408203]",1.7152656358783003,True
HERO_CarAmberHoodRead,LIGHT,CLOTHING,HERO_CarAmberHoodRead_Data,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[5.265153884887695, 1.978294849395752, 5.190776824951172]","[-0.018606707453727722, 0.020346131175756454, 3.3069701194763184]","[3.5268781185150146, 3.5269880294799805, 1.0043387413024902]","[5.265153884887695, 1.978294849395752, 5.190776824951172]","[0.0, 0.0, 0.0]",0,0,HERO_CarAmberHoodReadAction,0,0,,,,,,False
HERO_CarWarmSideGlint,LIGHT,CHARACTER,HERO_CarWarmSideGlint_Data,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[0.00734373927116394, 22.906091690063477, 7.155600547790527]","[-0.008619682863354683, -4.607848680393545e-08, -1.570796251296997]","[2.4712367057800293, 2.4711599349975586, 1.0001896619796753]","[0.00734373927116394, 22.906091690063477, 7.155600547790527]","[0.0, 0.0, 0.0]",0,0,HERO_CarWarmSideGlintAction,0,0,,,,,,False
HERO_Curb_VerticalFace,MESH,CHARACTER,Cube.196,1,ENVIRONMENT_AND_PARKING,,OBJECT,,False,False,True,"[0.0, 19.022600173950195, -0.015452387742698193]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 19.022600173950195, -0.015452387742698193]","[0.0, 0.0, 0.0]",2,0,HERO_Curb_VerticalFaceAction,0,0,"[-13.453507423400879, 18.871179580688477, -0.12319360673427582]","[13.453507423400879, 19.06260108947754, 0.05954761430621147]","[0.0, 18.966890335083008, -0.031822994351387024]","[26.907014846801758, 0.1914215087890625, 0.1827412247657776]",0.058065332948284,False
HERO_LampArm_0,MESH,CHARACTER,Cylinder.017,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[-5.22226619720459, 2.329782247543335, 5.278862953186035]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-5.22226619720459, 2.329782247543335, 5.278862953186035]","[0.0, 0.0, 0.0]",0,0,HERO_LampArm_0Action,0,0,"[-5.247871398925781, 2.009782314300537, 5.252862930297852]","[-5.196660995483398, 2.649782180786133, 5.304862976074219]","[-5.22226619720459, 2.329782247543335, 5.278862953186035]","[0.05121040344238281, 0.6399998664855957, 0.05200004577636719]",0.0,False
HERO_LampArm_1,MESH,CHARACTER,Cylinder.019,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[5.271664142608643, 2.333653688430786, 5.278862953186035]","[1.5707963705062866, -0.0, 3.1018993854522705]","[1.0, 1.0, 1.0]","[5.271664142608643, 2.333653688430786, 5.278862953186035]","[0.0, 0.0, 0.0]",0,0,HERO_LampArm_1Action,0,0,"[5.2333807945251465, 2.0128896236419678, 5.252862930297852]","[5.309947490692139, 2.6544177532196045, 5.304862976074219]","[5.271664142608643, 2.333653688430786, 5.278862953186035]","[0.07656669616699219, 0.6415281295776367, 0.05200004577636719]",0.0,False
HERO_StoreMall_DeepBody,MESH,CHARACTER,Cube.050,1,ENVIRONMENT_AND_PARKING,,OBJECT,,False,False,True,"[0.0, 27.0, 2.886878252029419]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 27.0, 2.886878252029419]","[0.0, 0.0, 0.0]",2,0,HERO_StoreMall_DeepBodyAction,0,0,"[-12.803506851196289, 24.0, 0.0]","[12.803506851196289, 30.0, 5.773756504058838]","[0.0, 27.0, 2.886878252029419]","[25.607013702392578, 6.0, 5.773756504058838]",0.0,False
L.Eye,MESH,CHARACTER,Sphere.019,1,Main Model,,OBJECT,,False,False,True,"[0.1776907742023468, -0.34317445755004883, 2.2559003829956055]","[-0.2922254502773285, -0.08434820920228958, -0.05302854999899864]","[0.07299443334341049, 0.049894388765096664, 0.0726293995976448]","[0.1776907742023468, -0.34317445755004883, 2.2559003829956055]","[0.0, 0.0, 0.0]",1,0,L.EyeAction,0,0,"[0.10721604526042938, -0.397123783826828, 2.172396421432495]","[0.24816571176052094, -0.28922533988952637, 2.339404582977295]","[0.17769087851047516, -0.3431745767593384, 2.2559003829956055]","[0.14094966650009155, 0.10789844393730164, 0.1670081615447998]",1.5840151626966372e-07,False
Lowerpoly hoodie,MESH,CLOTHING,SACKBOY_Hoodie_Main_Mesh.002,1,HOODIE,,OBJECT,,False,False,True,"[0.016639718785881996, -0.04106549173593521, 0.35124439001083374]","[0.0, 0.0, 0.0]","[3.5949368476867676, 3.4283840656280518, 2.253058671951294]","[0.016639718785881996, -0.04106549173593521, 0.35124439001083374]","[0.0, 0.0, 0.0]",0,0,Lowerpoly hoodieAction,0,0,"[-1.0281926393508911, -0.38260507583618164, 1.0523295402526855]","[1.0258113145828247, 0.3809468150138855, 2.5350048542022705]","[-0.0011906623840332031, -0.0008291304111480713, 1.793667197227478]","[2.054003953933716, 0.7635518908500671, 1.482675313949585]",1.4430941404284678,True
Plane.001,MESH,CHARACTER,Plane.036,1,Shoes,Shoes,OBJECT,,False,False,True,"[-0.2202046662569046, 0.6408016085624695, 0.3217954933643341]","[0.0, -0.0, 1.4835299253463745]","[2.5295095443725586, 4.72477388381958, 3.182590961456299]","[-0.32080304622650146, -0.04904162883758545, 0.3217954933643341]","[-0.0, 0.0, -0.0]",0,0,Plane.001Action,0,0,"[-0.4681355059146881, -0.43979960680007935, 0.3218555748462677]","[-0.010607395321130753, 0.25305989384651184, 0.6097263097763062]","[-0.23937144875526428, -0.09336985647678375, 0.46579092741012573]","[0.45752811431884766, 0.6928595304489136, 0.28787073493003845]",0.17126231759538751,False
Plane.022,MESH,CHARACTER,Plane.051,1,Shoes,Shoes,OBJECT,,False,False,True,"[0.4448852837085724, 0.6350650191307068, 0.3217954933643341]","[3.1415927410125732, -0.0, -1.4835296869277954]","[-2.5295097827911377, -4.72477388381958, -3.182590961456299]","[0.3442869186401367, -0.05477803945541382, 0.3217954933643341]","[-0.0, 0.0, -0.0]",2,0,Plane.022Action,0,0,"[0.03601420670747757, -0.4453679621219635, 0.3218555450439453]","[0.49582913517951965, 0.24769185483455658, 0.6097263693809509]","[0.2659216821193695, -0.09883805364370346, 0.4657909572124481]","[0.4598149359226227, 0.6930598020553589, 0.2878708243370056]",0.16975596909002935,False
R.Eye,MESH,CHARACTER,Sphere.020,1,Main Model,,OBJECT,,False,False,True,"[-0.08250532299280167, -0.38255709409713745, 2.2692859172821045]","[-0.29433825612068176, -0.04511673003435135, -0.1959303319454193]","[0.07263506948947906, 0.04994402080774307, 0.07288359105587006]","[-0.08250532299280167, -0.38255709409713745, 2.2692859172821045]","[0.0, 0.0, 0.0]",1,0,R.EyeAction,0,0,"[-0.22549909353256226, -0.3928888738155365, 2.175067663192749]","[-0.07810115069150925, -0.27476972341537476, 2.3356902599334717]","[-0.15180012583732605, -0.33382928371429443, 2.2553789615631104]","[0.1473979353904724, 0.11811915040016174, 0.16062259674072266]",0.08584621492460084,False
Shoes,EMPTY,CHARACTER,,0,Shoes,,OBJECT,Plane.001 | Plane.022,False,False,True,"[-0.10059821605682373, -0.6898431777954102, 0.0]","[0.0, 0.0, 2.384185791015625e-07]","[0.12018942087888718, 0.12018942087888718, 0.12018942087888718]","[-0.10059821605682373, -0.6898431777954102, 0.0]","[0.0, 0.0, 0.0]",0,0,ShoesAction,0,0,,,,,,False
V2B_OverheadAmber_0,LIGHT,CHARACTER,V2B_OverheadAmber_0_Data.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[-5.22226619720459, 2.649782180786133, 5.278862953186035]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-5.22226619720459, 2.649782180786133, 5.278862953186035]","[0.0, 0.0, 0.0]",0,0,V2B_OverheadAmber_0Action,0,0,,,,,,False
V2B_OverheadAmber_1,LIGHT,CHARACTER,V2B_OverheadAmber_1_Data.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[5.28436279296875, 2.6534018516540527, 5.278862953186035]","[0.0, -0.0, 3.1018993854522705]","[1.0, 1.0, 1.0]","[5.28436279296875, 2.6534018516540527, 5.278862953186035]","[0.0, 0.0, 0.0]",0,0,V2B_OverheadAmber_1Action,0,0,,,,,,False
