object,category,parent,parent_type,children,matrix_parent_inverse_translation
177d920ddde57c74f8e1ef18863ab511,OTHER,Plane.023,OBJECT,177d920ddde57c74f8e1ef18863ab511.001 | Mball.008,"[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]"
177d920ddde57c74f8e1ef18863ab511.001,OTHER,177d920ddde57c74f8e1ef18863ab511,OBJECT,,"[-0.0, -1.8784412145614624, -0.03186692297458649]"
Audi e-tron GT quattro Black,OTHER,,OBJECT,Bolt.002 | Circle | Circle.001 | Circle.002 | Circle.003 | Circle.006 | Circle.007 | Circle.009 | Circle.011 | Plane | Plane.002 | Plane.003 | Plane.004 | Plane.005 | Plane.006 | Plane.007 | Plane.008 | Plane.009 | Plane.010 | Plane.011 | Plane.012 | Plane.013 | Plane.014 | Plane.015 | Plane.016 | Plane.017 | Plane.018 | Plane.019 | Plane.020 | Plane.021 | Plane.024 | Plane.025 | Plane.026 | Plane.027 | Plane.028 | Plane.030 | Plane.031 | Plane.032 | Plane.033 | Plane.034 | Plane.035 | Plane.036 | Plane.037 | Plane.038 | Plane.039 | Plane.040 | Plane.041 | Plane.042 | Plane.043 | Plane.045 | Plane.047 | Plane.048 | Plane.049 | Plane.050 | Plane.051 | Plane.052 | Plane.053 | Plane.054 | Plane.055 | Plane.056 | Plane.057 | Plane.058 | Plane.059 | Plane.060 | Plane.061 | Plane.062 | Plane.063 | Plane.064 | Plane.065 | Plane.066 | Plane.067 | Plane.068 | Plane.069 | Plane.070 | Plane.071 | Plane.072 | Plane.074 | Plane.076 | Plane.077,"[0.0, 0.0, 0.0]"
Axle.001,OTHER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Bolt,PROTECTED_EFFECT,Plane.023,OBJECT,,"[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]"
Bolt.001,PROTECTED_EFFECT,Plane.023,OBJECT,,"[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]"
Bolt.002,PROTECTED_EFFECT,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Can.001,OTHER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Cast iron sewer hatch,OTHER,,OBJECT,Plane.029,"[0.0, 0.0, 0.0]"
Circle,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.001,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.002,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.003,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.006,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.007,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.009,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Circle.011,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Cylinder.001,OTHER,Plane.023,OBJECT,,"[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]"
Handlebars.001,CHARACTER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Large Trash Can,OTHER,,OBJECT,Axle.001 | Can.001 | Handlebars.001 | Lid Pins.001 | Lid.001 | Ribbing.001,"[0.0, 0.0, 0.0]"
Lid Pins.001,OTHER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Lid.001,OTHER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Mball.008,OTHER,177d920ddde57c74f8e1ef18863ab511,OBJECT,,"[-0.0, -1.8784412145614624, -0.03186692297458649]"
Mball.011,OTHER,Plane.023,OBJECT,,"[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]"
No Parking Sign,OTHER,,OBJECT,Plane.023,"[0.0, 0.0, 0.0]"
Plane,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.001,CHARACTER,Shoes,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.002,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.003,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.004,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.005,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.006,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.007,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.008,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.009,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.010,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.011,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.012,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.013,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.014,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.015,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.016,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.017,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.018,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.019,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.020,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.021,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.022,CHARACTER,Shoes,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.023,OTHER,No Parking Sign,OBJECT,177d920ddde57c74f8e1ef18863ab511 | Bolt | Bolt.001 | Cylinder.001 | Mball.011,"[-0.0, 0.0, -0.0]"
Plane.024,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.025,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.026,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.027,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.028,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.029,OTHER,Cast iron sewer hatch,OBJECT,,"[-0.0, 0.0, 0.029513534158468246]"
Plane.030,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.031,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.032,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.033,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.034,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.035,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.036,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.037,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.038,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.039,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.040,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.041,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.042,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.043,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.045,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.047,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.048,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.049,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.050,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.051,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.052,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.053,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.054,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.055,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.056,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.057,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.058,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.059,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.060,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.061,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.062,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.063,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.064,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.065,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.066,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.067,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.068,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.069,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.070,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.071,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.072,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.074,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.076,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.077,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Ribbing.001,OTHER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Shoes,CHARACTER,,OBJECT,Plane.001 | Plane.022,"[0.0, 0.0, 0.0]"
