name,users,fcurve_count,frame_range_start,frame_range_end
177d920ddde57c74f8e1ef18863ab511.001Action,1,0,28.0,28.0
177d920ddde57c74f8e1ef18863ab511Action,1,0,28.0,28.0
Asphalt groundAction,1,0,28.0,28.0
Audi e-tron GT quattro BlackAction,1,0,28.0,28.0
Axle.001Action,1,0,28.0,28.0
Bolt.001Action,1,0,28.0,28.0
Bolt.002Action,1,0,28.0,28.0
BoltAction,1,0,28.0,28.0
CAM_F2_FrontAction,1,0,28.0,28.0
CAM_F2_ProfileAction,1,0,28.0,28.0
CAM_F2_ThreeQuarterAction,1,0,28.0,28.0
CAM_Hood_FrontAction,1,0,28.0,28.0
CAM_Hood_LeftSideAction,1,0,28.0,28.0
CAM_Hood_RightSideAction,1,0,28.0,28.0
CAM_Hood_TopAction,1,0,28.0,28.0
CAM_SceneWideAction,1,0,28.0,28.0
CAM_StorefrontReflection_RAction,1,0,28.0,28.0
CAM_TargetAction,1,0,28.0,28.0
CAM_wholesceneAction,1,0,28.0,28.0
Can.001Action,1,0,28.0,28.0
Cargo pantsAction,1,0,28.0,28.0
Cast iron sewer hatchAction,1,0,28.0,28.0
Circle.001Action,1,0,28.0,28.0
Circle.002Action,1,0,28.0,28.0
Circle.003Action,1,0,28.0,28.0
Circle.006Action,1,0,28.0,28.0
Circle.007Action,1,0,28.0,28.0
Circle.009Action,1,0,28.0,28.0
Circle.011Action,1,0,28.0,28.0
CircleAction,1,0,28.0,28.0
Cylinder.001Action,1,0,28.0,28.0
CylinderAction,1,0,0.0,59.0
Dirt Ground MaterialAction,1,0,0.0,0.0
EmptyAction,1,0,1.0,1.0
F2Action,1,0,28.0,28.0
FINAL_ORBIT_RIGAction,1,0,1.0,120.0
FX_ReflectCard_Green_01Action,1,0,28.0,28.0
FX_ReflectCard_Green_02Action,1,0,28.0,28.0
FX_ReflectCard_Red_01Action,1,0,28.0,28.0
FX_ReflectCard_Red_02Action,1,0,28.0,28.0
FX_ReflectCard_Yellow_01Action,1,0,28.0,28.0
FX_ReflectCard_Yellow_02Action,1,0,28.0,28.0
FX_TrafficLight_GreenAction,1,0,28.0,28.0
FX_TrafficLight_RedAction,1,0,28.0,28.0
FX_TrafficLight_YellowAction,1,0,28.0,28.0
Handlebars.001Action,1,0,28.0,28.0
HERO_CarAmberHoodReadAction,1,0,28.0,28.0
HERO_CarAmberRoofReadAction,1,0,28.0,28.0
HERO_CarWarmSideGlintAction,1,0,28.0,28.0
HERO_Curb_VerticalFaceAction,1,0,28.0,28.0
HERO_CyanUnderglow_AreaAction,1,0,28.0,28.0
HERO_DoubleDoor_CenterMeet_1Action,1,0,28.0,28.0
HERO_DoubleDoor_CenterMeet_2Action,1,0,28.0,28.0
HERO_DoubleDoor_LeftSide_1Action,1,0,28.0,28.0
HERO_DoubleDoor_LeftSide_2Action,1,0,28.0,28.0
HERO_DoubleDoor_RightSide_1Action,1,0,28.0,28.0
HERO_DoubleDoor_RightSide_2Action,1,0,28.0,28.0
HERO_DoubleDoor_TopFrame_1Action,1,0,28.0,28.0
HERO_DoubleDoor_TopFrame_2Action,1,0,28.0,28.0
HERO_GlassStorefront_Bay_0Action,1,0,28.0,28.0
HERO_GlassStorefront_Bay_1Action,1,0,28.0,28.0
HERO_GlassStorefront_Bay_2Action,1,0,28.0,28.0
HERO_GlassStorefront_Bay_3Action,1,0,28.0,28.0
HERO_HParking_CenterSpineAction,1,0,28.0,28.0
HERO_HParking_Row0_Divider_0Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_1Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_2Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_3Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_4Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_5Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_6Action,1,0,28.0,28.0
HERO_HParking_Row0_Divider_7Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_0Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_1Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_2Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_3Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_4Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_5Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_6Action,1,0,28.0,28.0
HERO_HParking_Row1_Divider_7Action,1,0,28.0,28.0
HERO_LampArm_0Action,1,0,28.0,28.0
HERO_LampArm_1Action,1,0,28.0,28.0
HERO_LampFixture_0Action,1,0,28.0,28.0
HERO_LampFixture_1Action,1,0,28.0,28.0
HERO_LampGlass_0Action,1,0,28.0,28.0
HERO_LampGlass_1Action,1,0,28.0,28.0
HERO_LampPole_0Action,1,0,28.0,28.0
HERO_LampPole_1Action,1,0,28.0,28.0
HERO_Rooftop_HVAC_0Action,1,0,28.0,28.0
HERO_Rooftop_HVAC_1Action,1,0,28.0,28.0
HERO_Rooftop_HVAC_2Action,1,0,28.0,28.0
HERO_Rooftop_HVAC_3Action,1,0,28.0,28.0
HERO_Rooftop_Vent_0Action,1,0,28.0,28.0
HERO_Rooftop_Vent_1Action,1,0,28.0,28.0
HERO_Rooftop_Vent_2Action,1,0,28.0,28.0
HERO_Rooftop_Vent_3Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_1Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_2Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_3Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_4Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_5Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_6Action,1,0,28.0,28.0
HERO_Sidewalk_ExpansionJoint_X_7Action,1,0,28.0,28.0
HERO_Sidewalk_WideTopAction,1,0,28.0,28.0
HERO_Storefront_CenterMullion_0Action,1,0,28.0,28.0
HERO_Storefront_CenterMullion_3Action,1,0,28.0,28.0
HERO_Storefront_ContinuousBottomFrameAction,1,0,28.0,28.0
HERO_Storefront_ContinuousTopFrameAction,1,0,28.0,28.0
HERO_Storefront_LeftVertical_0Action,1,0,28.0,28.0
HERO_Storefront_LeftVertical_1Action,1,0,28.0,28.0
HERO_Storefront_LeftVertical_2Action,1,0,28.0,28.0
HERO_Storefront_LeftVertical_3Action,1,0,28.0,28.0
HERO_Storefront_MidHorizontal_0Action,1,0,28.0,28.0
HERO_Storefront_MidHorizontal_1Action,1,0,28.0,28.0
HERO_Storefront_MidHorizontal_2Action,1,0,28.0,28.0
HERO_Storefront_MidHorizontal_3Action,1,0,28.0,28.0
HERO_Storefront_RightVertical_0Action,1,0,28.0,28.0
HERO_Storefront_RightVertical_1Action,1,0,28.0,28.0
HERO_Storefront_RightVertical_2Action,1,0,28.0,28.0
HERO_Storefront_RightVertical_3Action,1,0,28.0,28.0
HERO_StoreMall_DeepBodyAction,1,0,28.0,28.0
HERO_StoreMall_FlatRoofAction,1,0,28.0,28.0
HERO_StoreMall_FrontParapetAction,1,0,28.0,28.0
HERO_Underglow_FrontHiddenStripAction,1,0,28.0,28.0
HERO_Underglow_RearHiddenStripAction,1,0,28.0,28.0
L.EyeAction,1,0,28.0,28.0
Large Trash CanAction,1,0,28.0,28.0
Lid Pins.001Action,1,0,28.0,28.0
Lid.001Action,1,0,28.0,28.0
Lowerpoly hoodieAction,1,0,28.0,28.0
Material.022Action,1,0,0.0,59.0
Mball.008Action,1,0,28.0,28.0
Mball.011Action,1,0,28.0,28.0
MountainsAction,1,0,28.0,28.0
No Parking SignAction,1,0,28.0,28.0
Plane.001Action,1,0,28.0,28.0
Plane.002Action,1,0,28.0,28.0
Plane.003Action,1,0,28.0,28.0
Plane.004Action,1,0,28.0,28.0
Plane.005Action,1,0,28.0,28.0
Plane.006Action,1,0,28.0,28.0
Plane.007Action,1,0,28.0,28.0
Plane.008Action,1,0,28.0,28.0
Plane.009Action,1,0,28.0,28.0
Plane.010Action,1,0,28.0,28.0
Plane.011Action,1,0,28.0,28.0
Plane.012Action,1,0,28.0,28.0
Plane.013Action,1,0,28.0,28.0
Plane.014Action,1,0,28.0,28.0
Plane.015Action,1,0,28.0,28.0
Plane.016Action,1,0,28.0,28.0
Plane.017Action,1,0,28.0,28.0
Plane.018Action,1,0,28.0,28.0
Plane.019Action,1,0,28.0,28.0
Plane.020Action,1,0,28.0,28.0
Plane.021Action,1,0,28.0,28.0
Plane.022Action,1,0,28.0,28.0
Plane.023Action,1,0,28.0,28.0
Plane.024Action,1,0,28.0,28.0
Plane.025Action,1,0,28.0,28.0
Plane.026Action,1,0,28.0,28.0
Plane.027Action,1,0,28.0,28.0
Plane.028Action,1,0,28.0,28.0
Plane.029Action,1,0,28.0,28.0
Plane.030Action,1,0,28.0,28.0
Plane.031Action,1,0,28.0,28.0
Plane.032Action,1,0,28.0,28.0
Plane.033Action,1,0,28.0,28.0
Plane.034Action,1,0,28.0,28.0
Plane.035Action,1,0,28.0,28.0
Plane.036Action,1,0,28.0,28.0
Plane.037Action,1,0,28.0,28.0
Plane.038Action,1,0,28.0,28.0
Plane.039Action,1,0,28.0,28.0
Plane.040Action,1,0,28.0,28.0
Plane.041Action,1,0,28.0,28.0
Plane.042Action,1,0,28.0,28.0
Plane.043Action,1,0,28.0,28.0
Plane.045Action,1,0,28.0,28.0
Plane.047Action,1,0,28.0,28.0
Plane.048Action,1,0,28.0,28.0
Plane.049Action,1,0,28.0,28.0
Plane.050Action,1,0,28.0,28.0
Plane.051Action,1,0,28.0,28.0
Plane.052Action,1,0,28.0,28.0
Plane.053Action,1,0,28.0,28.0
Plane.054Action,1,0,28.0,28.0
Plane.055Action,1,0,28.0,28.0
Plane.056Action,1,0,28.0,28.0
Plane.057Action,1,0,28.0,28.0
Plane.058Action,1,0,28.0,28.0
Plane.059Action,1,0,28.0,28.0
Plane.060Action,1,0,28.0,28.0
Plane.061Action,1,0,28.0,28.0
Plane.062Action,1,0,28.0,28.0
Plane.063Action,1,0,28.0,28.0
Plane.064Action,1,0,28.0,28.0
Plane.065Action,1,0,28.0,28.0
Plane.066Action,1,0,28.0,28.0
Plane.067Action,1,0,28.0,28.0
Plane.068Action,1,0,28.0,28.0
Plane.069Action,1,0,28.0,28.0
Plane.070Action,1,0,28.0,28.0
Plane.071Action,1,0,28.0,28.0
Plane.072Action,1,0,28.0,28.0
Plane.074Action,1,0,28.0,28.0
Plane.076Action,1,0,28.0,28.0
Plane.077Action,1,0,28.0,28.0
PlaneAction,1,0,28.0,28.0
R.EyeAction,1,0,28.0,28.0
Ribbing.001Action,1,0,28.0,28.0
ShoesAction,1,0,28.0,28.0
Stop signAction,1,0,28.0,28.0
Traffic Cone (Photoscanned)Action,1,0,28.0,28.0
Utility Box (Photoscanned)Action,1,0,28.0,28.0
V2B_OverheadAmber_0Action,1,0,28.0,28.0
V2B_OverheadAmber_1Action,1,0,28.0,28.0
