name,users,use_nodes,node_count,diffuse_color,surface_render_method,blend_method,has_emission_node,has_volume_node
Black Denim Jeans Fabric,2,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Black rubber,1,True,13,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Bolts,2,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Brake2,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Can.001,2,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Can.002,4,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Car paint,4,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black,9,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.001,1,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.002,1,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.003,1,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.004,4,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Brown,2,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Dirt Ground Material,1,True,13,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
FX_MAT_CyclesReflect_Green,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
FX_MAT_CyclesReflect_Red,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
FX_MAT_CyclesReflect_Yellow,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
Glass,1,True,6,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,False,False
Glass.001,1,True,8,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,False,False
HERO_MAT_ConjoinedBlackMetalFrames,24,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_CyanUnderglow,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
HERO_MAT_FlatRoof,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_Glass_NightGlossy,4,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,False,False
HERO_MAT_LampGlassAmber,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,True,False
HERO_MAT_LampPostDarkMetal,6,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_ParkingLinePaint,17,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_RooftopHVAC,8,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_SidewalkConcrete,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_SidewalkGroove,7,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
HERO_MAT_StoreStucco,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
main.001,1,True,4,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Material,4,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.001,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.002,17,True,6,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.003,3,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.004,1,True,10,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.005,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.006,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
Material.007,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.008,4,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.009,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.010,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.011,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
Material.012,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.013,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.014,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.015,7,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.016,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.017,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.018,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.019,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.020,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Material.021,1,True,3,"[0.0, 0.0, 0.0, 1.0]",DITHERED,HASHED,False,False
Material.022,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
Material.023,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,True
Material107852,0,True,6,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Material107852.001,0,True,6,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Material107852.002,1,True,6,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Material118001,0,True,6,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Material118001.001,0,True,6,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Material118001.002,1,True,6,"[1.0, 1.0, 1.0, 1.0]",DITHERED,HASHED,False,False
Metal,1,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Metal.001,2,True,18,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
no parking_board,1,True,21,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,False,False
no parking_Procedural Metal 01,7,True,19,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
no parking_Rusty painted metal,3,True,4,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Plastic,17,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Plastic.001,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Rims,1,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Rubber Black,4,True,6,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Shoes_Metal.001,2,True,15,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
STOP,1,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Tires,1,True,9,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Traffic Cone (Photoscanned),1,True,6,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Underpart,4,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
UtilityBox,1,True,6,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Window,2,True,8,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,False,False
Window Glass Cycle,1,True,9,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",BLENDED,BLEND,False,False
