name,type,category,data_name,collections,parent,parent_type,hide_viewport,hide_render,visible_get,location,rotation_euler,scale,modifier_count,constraint_count,vertex_group_count,material_slots,action,driver_count,nla_track_count
177d920ddde57c74f8e1ef18863ab511,MESH,OTHER,177d920ddde57c74f8e1ef18863ab511,PROPS,Plane.023,OBJECT,False,False,True,"[0.0, -0.0305807963013649, 1.8784412145614624]","[1.5591026544570923, -2.596503399191703e-18, 1.5180381443069084e-20]","[1.0, 1.0, 1.0]",2,0,0,no parking_board | no parking_Rusty painted metal,177d920ddde57c74f8e1ef18863ab511Action,0,0
177d920ddde57c74f8e1ef18863ab511.001,MESH,OTHER,177d920ddde57c74f8e1ef18863ab511.001,PROPS,177d920ddde57c74f8e1ef18863ab511,OBJECT,False,False,True,"[0.0, -0.03186700493097305, 1.8677538633346558]","[1.5707964897155762, -0.0, 0.0]","[1.0, 1.0, 1.0]",3,0,0,no parking_Procedural Metal 01,177d920ddde57c74f8e1ef18863ab511.001Action,0,0
Asphalt ground,MESH,ENVIRONMENT_EFFECT,remeshed_object,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[0.0, 4.780939102172852, -0.8760008811950684]","[-0.009998553432524204, 0.03147376701235771, 0.7261602282524109]","[4.915334224700928, 4.915334224700928, 4.915334224700928]",0,0,0,main.001,Asphalt groundAction,0,0
Audi e-tron GT quattro Black,EMPTY,ENVIRONMENT_EFFECT,,IMPORTED_CAR_OR_GENERIC_ASSET_PARTS,,OBJECT,False,False,True,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.0, -0.0, 3.6207094192504883]","[1.604430913925171, 1.604430913925171, 1.604430913925171]",0,0,0,,Audi e-tron GT quattro BlackAction,0,0
Axle.001,MESH,OTHER,Mesh.010,PROPS,Large Trash Can,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,Can.001,Axle.001Action,0,0
Bolt,MESH,ENVIRONMENT_EFFECT,Bolt,SAME_NAME_Bolt,Plane.023,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, -0.0, 0.0]","[1.0, 1.0, 1.0]",4,0,0,no parking_Procedural Metal 01,BoltAction,0,0
Bolt.001,MESH,ENVIRONMENT_EFFECT,Bolt.001,SAME_NAME_Bolt,Plane.023,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, -0.0, 0.0]","[1.0, 1.0, 1.0]",3,0,0,no parking_Procedural Metal 01,Bolt.001Action,0,0
Bolt.002,MESH,ENVIRONMENT_EFFECT,Bolt.002,SAME_NAME_Bolt,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,Bolts,Bolt.002Action,0,0
CAM_ANIM_Close,CAMERA,OTHER,CAM_ANIM_Close_Data,CAMERAS,,OBJECT,True,True,False,"[-0.6176102757453918, -3.9237451553344727, 3.903456449508667]","[1.328497290611267, 2.757062134151056e-08, 0.49248573184013367]","[1.0, 1.0, 1.0]",0,0,0,,,0,0
CAM_ANIM_Medium,CAMERA,OTHER,CAM_ANIM_Medium_Data,CAMERAS,,OBJECT,True,True,False,"[2.182389736175537, -6.923745155334473, 4.703456401824951]","[1.3504880666732788, 6.855184153664595e-08, 0.5942136645317078]","[1.0, 1.0, 1.0]",0,0,0,,,0,0
CAM_ANIM_Wide,CAMERA,OTHER,CAM_ANIM_Wide_Data,CAMERAS,,OBJECT,True,True,False,"[6.182389736175537, -11.423745155334473, 6.403456211090088]","[1.3326385021209717, 5.332593033813282e-08, 0.6316906213760376]","[1.0, 1.0, 1.0]",0,0,0,,,0,0
CAM_F2_Front,CAMERA,CHARACTER,CAM_F2_Front_Data,CAMERAS,,OBJECT,False,False,True,"[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[1.479385256767273, -0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,,CAM_F2_FrontAction,0,0
CAM_F2_Profile,CAMERA,CHARACTER,CAM_F2_Profile_Data,CAMERAS,,OBJECT,False,False,True,"[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[1.4717116355895996, 1.1992301551799756e-07, 1.4621351957321167]","[1.0, 1.0, 1.0]",0,0,0,,CAM_F2_ProfileAction,0,0
CAM_F2_ThreeQuarter,CAMERA,CHARACTER,CAM_F2_ThreeQuarter_Data,CAMERAS,,OBJECT,False,False,True,"[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[1.4630521535873413, 8.603631584946925e-09, 0.5800027251243591]","[1.0, 1.0, 1.0]",0,0,0,,CAM_F2_ThreeQuarterAction,0,0
CAM_Hood_Front,CAMERA,CLOTHING,CAM_Hood_Front_Data,CAMERAS,,OBJECT,False,False,True,"[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[1.5208884477615356, -3.705778350848732e-09, 0.04496968537569046]","[1.0, 1.0, 1.0]",0,0,0,,CAM_Hood_FrontAction,0,0
CAM_Hood_LeftSide,CAMERA,CLOTHING,CAM_Hood_LeftSide_Data,CAMERAS,,OBJECT,False,False,True,"[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, -1.5707964897155762]","[1.0, 1.0, 1.0]",0,0,0,,CAM_Hood_LeftSideAction,0,0
CAM_Hood_RightSide,CAMERA,CLOTHING,CAM_Hood_RightSide_Data,CAMERAS,,OBJECT,False,False,True,"[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, 1.5707964897155762]","[1.0, 1.0, 1.0]",0,0,0,,CAM_Hood_RightSideAction,0,0
CAM_Hood_Top,CAMERA,CLOTHING,CAM_Hood_Top_Data,CAMERAS,,OBJECT,False,False,True,"[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.07506294548511505, 1.8727165240761678e-07, 0.22347640991210938]","[1.0, 1.0, 1.0]",0,0,0,,CAM_Hood_TopAction,0,0
CAM_SceneWide,CAMERA,OTHER,CAM_SceneWide_Data,CAMERAS,,OBJECT,False,False,True,"[5.682389736175537, -10.423745155334473, 6.8034563064575195]","[1.2948137521743774, -4.914242879294761e-08, 0.6365084052085876]","[1.0, 1.0, 1.0]",0,0,0,,CAM_SceneWideAction,0,0
CAM_StorefrontReflection_R,CAMERA,ENVIRONMENT_EFFECT,CAM_StorefrontReflection_Data,CAMERAS,,OBJECT,False,False,True,"[4.9823899269104, -9.923745155334473, 3.853456497192383]","[1.5214577913284302, 1.7176526867501707e-08, 0.5023025274276733]","[1.0, 1.0, 1.0]",0,0,0,,CAM_StorefrontReflection_RAction,0,0
CAM_Target,EMPTY,OTHER,,CAMERAS,,OBJECT,False,False,True,"[0.0, 0.0, 1.4500000476837158]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,,CAM_TargetAction,0,0
CAM_wholescene,CAMERA,OTHER,CAM_WholeScene_Data,CAMERAS,,OBJECT,False,False,True,"[-1.6582167148590088, -30.475170135498047, 0.408840537071228]","[1.6894863843917847, -4.516235549090197e-06, 0.013961643911898136]","[1.0, 1.0, 1.0]",0,0,0,,CAM_wholesceneAction,0,0
Can.001,MESH,OTHER,Mesh.014,PROPS,Large Trash Can,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,Can.002,Can.001Action,0,0
Cargo pants,MESH,CLOTHING,Cargo pants,PANTS,,OBJECT,False,False,True,"[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[0.0, 0.0, 0.0]","[2.864536762237549, 3.3314666748046875, 0.8818214535713196]",1,0,0,Black Denim Jeans Fabric,Cargo pantsAction,0,0
Cast iron sewer hatch,EMPTY,OTHER,,PROPS,,OBJECT,False,False,True,"[2.427868127822876, -1.9205427169799805, 0.0]","[0.0, 0.0, 0.0]","[1.934547781944275, 1.934547781944275, 1.0]",0,0,0,,Cast iron sewer hatchAction,0,0
Circle,MESH,OTHER,Circle.001,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1,0,0,Plastic.001 | Material.005,CircleAction,0,0
Circle.001,MESH,OTHER,Circle.002,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,Car paint | Material | Plastic,Circle.001Action,0,0
Circle.002,MESH,OTHER,Circle.006,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1,0,0,Material.003,Circle.002Action,0,0
Circle.003,MESH,OTHER,Circle.007,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1,0,0,Metal,Circle.003Action,0,0
Circle.006,MESH,OTHER,Circle.014,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,Material,Circle.006Action,0,0
Circle.007,MESH,OTHER,Circle.013,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1,0,0,Car paint | Material | Plastic,Circle.007Action,0,0
Circle.009,MESH,OTHER,Circle.016,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1,0,0,Rims,Circle.009Action,0,0
Circle.011,MESH,OTHER,Circle.018,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1,0,0,Material,Circle.011Action,0,0
Cube,MESH,ENVIRONMENT_EFFECT,Cube,04_ENVIRONMENT_STOREFRONTS_PARKING,,OBJECT,False,True,True,"[-59.633445739746094, 63.60997772216797, 50.14567565917969]","[0.0, 0.0, 0.0]","[153.66673278808594, 94.41097259521484, 7.21381950378418]",0,0,0,,,0,0
Cylinder.001,MESH,OTHER,Cylinder.002,PROPS,Plane.023,OBJECT,False,False,True,"[0.0, 0.0, 1.0054059028625488]","[0.0, -0.0, 0.0]","[1.0, 1.0, 1.0]",3,0,0,no parking_Procedural Metal 01,Cylinder.001Action,0,0
Empty,EMPTY,ENVIRONMENT_EFFECT,,06_LIGHTING_REFLECTIONS,,OBJECT,False,False,True,"[-117.52604675292969, 250.6327362060547, 4.245935440063477]","[0.0, 0.0, -0.11537054181098938]","[1.0, 1.0, 1.0]",0,0,0,,EmptyAction,0,0
F2,MESH,CHARACTER,Meshy_Left_Standing_Candidate.006,Main Model,,OBJECT,False,False,True,"[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[1.570796251296997, -0.0, 0.0]","[3.634430170059204, 3.634430170059204, 3.634430170059204]",0,0,0,Cloth Brown | Material.020,F2Action,0,0
FINAL_ORBIT_RIG,EMPTY,OTHER,,07_CAMERAS,,OBJECT,False,False,True,"[-0.6757546663284302, 0.3175894320011139, -0.061356570571660995]","[0.0, 0.0, 0.11128638684749603]","[1.0, 1.0, 1.0]",0,0,0,,FINAL_ORBIT_RIGAction,0,0
FX_ReflectCard_Green_01,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Green_01_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[5.319022178649902, -0.9369463324546814, 2.465970516204834]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Green,FX_ReflectCard_Green_01Action,0,0
FX_ReflectCard_Green_02,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Green_02_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[4.091555595397949, -0.9569463133811951, 1.9510010480880737]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Green,FX_ReflectCard_Green_02Action,0,0
FX_ReflectCard_Red_01,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Red_01_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-5.728177547454834, -0.9369463324546814, 2.5055835247039795]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Red,FX_ReflectCard_Red_01Action,0,0
FX_ReflectCard_Red_02,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Red_02_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-4.500710964202881, -0.9569463133811951, 1.9906140565872192]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Red,FX_ReflectCard_Red_02Action,0,0
FX_ReflectCard_Yellow_01,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Yellow_01_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[0.0, -0.9369463324546814, 2.4263575077056885]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Yellow,FX_ReflectCard_Yellow_01Action,0,0
FX_ReflectCard_Yellow_02,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Yellow_02_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[1.2274665832519531, -0.9569463133811951, 1.8717749118804932]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Yellow,FX_ReflectCard_Yellow_02Action,0,0
FX_TrafficLight_Green,LIGHT,ENVIRONMENT_EFFECT,FX_TrafficLight_Green_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, 7.786525912933939e-08, 0.9381227493286133]","[1.0, 1.0, 1.0]",0,0,0,,FX_TrafficLight_GreenAction,0,0
FX_TrafficLight_Red,LIGHT,ENVIRONMENT_EFFECT,FX_TrafficLight_Red_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, -7.786525912933939e-08, -0.9381227493286133]","[1.0, 1.0, 1.0]",0,0,0,,FX_TrafficLight_RedAction,0,0
FX_TrafficLight_Yellow,LIGHT,ENVIRONMENT_EFFECT,FX_TrafficLight_Yellow_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[0.0, -4.966946125030518, 2.5055835247039795]","[1.517436146736145, -0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,,FX_TrafficLight_YellowAction,0,0
Handlebars.001,MESH,CHARACTER,Mesh.015,PROPS,Large Trash Can,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,Can.002,Handlebars.001Action,0,0
HERO_CarAmberHoodRead,LIGHT,CLOTHING,HERO_CarAmberHoodRead_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[5.265153884887695, 1.978294849395752, 5.190776824951172]","[-0.018606707453727722, 0.020346131175756454, 3.3069701194763184]","[3.5268781185150146, 3.5269880294799805, 1.0043387413024902]",0,0,0,,HERO_CarAmberHoodReadAction,0,0
HERO_CarAmberRoofRead,LIGHT,ENVIRONMENT_EFFECT,HERO_CarAmberRoofRead_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-5.1865057945251465, 1.9953433275222778, 5.201615333557129]","[0.04073687642812729, 0.029513869434595108, -0.6313019394874573]","[2.981391191482544, 2.981224298477173, 1.0181806087493896]",0,0,0,,HERO_CarAmberRoofReadAction,0,0
HERO_CarWarmSideGlint,LIGHT,CHARACTER,HERO_CarWarmSideGlint_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[0.00734373927116394, 22.906091690063477, 7.155600547790527]","[-0.008619682863354683, -4.607848680393545e-08, -1.570796251296997]","[2.4712367057800293, 2.4711599349975586, 1.0001896619796753]",0,0,0,,HERO_CarWarmSideGlintAction,0,0
HERO_Curb_VerticalFace,MESH,CHARACTER,Cube.196,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[0.0, 19.022600173950195, -0.015452387742698193]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_SidewalkConcrete,HERO_Curb_VerticalFaceAction,0,0
HERO_CyanUnderglow_Area,LIGHT,ENVIRONMENT_EFFECT,HERO_CyanUnderglow_Area_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-1.5229530334472656, 5.177516937255859, 0.07527600228786469]","[0.0, -0.0, -1.0902292728424072]","[2.4484784603118896, 1.9351017475128174, 1.0]",0,0,0,,HERO_CyanUnderglow_AreaAction,0,0
HERO_DoubleDoor_CenterMeet_1,MESH,ENVIRONMENT_EFFECT,Cube.175,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-2.7137868404388428, 23.812000274658203, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_CenterMeet_1Action,0,0
HERO_DoubleDoor_CenterMeet_2,MESH,ENVIRONMENT_EFFECT,Cube.183,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[2.7137868404388428, 23.812000274658203, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_CenterMeet_2Action,0,0
HERO_DoubleDoor_LeftSide_1,MESH,ENVIRONMENT_EFFECT,Cube.174,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-4.13330602645874, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_LeftSide_1Action,0,0
HERO_DoubleDoor_LeftSide_2,MESH,ENVIRONMENT_EFFECT,Cube.182,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[1.2942675352096558, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_LeftSide_2Action,0,0
HERO_DoubleDoor_RightSide_1,MESH,ENVIRONMENT_EFFECT,Cube.176,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-1.2942675352096558, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_RightSide_1Action,0,0
HERO_DoubleDoor_RightSide_2,MESH,ENVIRONMENT_EFFECT,Cube.184,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[4.13330602645874, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_RightSide_2Action,0,0
HERO_DoubleDoor_TopFrame_1,MESH,ENVIRONMENT_EFFECT,Cube.177,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-2.7137868404388428, 23.812000274658203, 3.3043012619018555]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_TopFrame_1Action,0,0
HERO_DoubleDoor_TopFrame_2,MESH,ENVIRONMENT_EFFECT,Cube.185,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[2.7137868404388428, 23.812000274658203, 3.3043012619018555]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_TopFrame_2Action,0,0
HERO_GlassStorefront_Bay_0,MESH,ENVIRONMENT_EFFECT,Cube.112,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-8.14136028289795, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_0Action,0,0
HERO_GlassStorefront_Bay_1,MESH,ENVIRONMENT_EFFECT,Cube.170,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-2.7137868404388428, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_1Action,0,0
HERO_GlassStorefront_Bay_2,MESH,ENVIRONMENT_EFFECT,Cube.178,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[2.7137868404388428, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_2Action,0,0
HERO_GlassStorefront_Bay_3,MESH,ENVIRONMENT_EFFECT,Cube.186,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[8.14136028289795, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_3Action,0,0
HERO_HParking_CenterSpine,MESH,ENVIRONMENT_EFFECT,Cube.222,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[0.0, 2.6500000953674316, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_CenterSpineAction,0,0
HERO_HParking_Row0_Divider_0,MESH,ENVIRONMENT_EFFECT,Cube.206,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-9.254709243774414, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_0Action,0,0
HERO_HParking_Row0_Divider_1,MESH,ENVIRONMENT_EFFECT,Cube.207,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-6.610506534576416, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_1Action,0,0
